id,name,record_type,record_id,blob_id,created_at
535,attachment,Spree::Asset,242,535,2020-08-19 08:50:01.474139
537,video,Spree::Product,45,537,2020-08-19 09:09:25.090289
538,attachment,Spree::Asset,243,538,2020-08-19 09:13:11.975746
540,video,Spree::Product,2457,540,2020-08-19 09:26:33.301014
541,attachment,Spree::Asset,244,541,2020-08-19 09:27:42.570501
543,video,Spree::Product,2458,543,2020-08-19 09:50:24.864934
544,attachment,Spree::Asset,245,544,2020-08-19 09:51:38.525609
546,video,Spree::Product,2459,546,2020-08-19 09:58:25.634245
547,attachment,Spree::Asset,246,547,2020-08-19 10:01:59.316611
549,video,Spree::Product,2460,549,2020-08-19 10:08:10.541961
550,attachment,Spree::Asset,247,550,2020-08-19 10:09:56.960110
551,attachment,Spree::Asset,248,551,2020-09-07 09:52:07.892285
553,video,Spree::Product,37,553,2020-09-07 09:52:29.071190
555,video,Spree::Product,105,555,2020-09-07 09:53:10.088018
556,attachment,Spree::Asset,249,556,2020-09-07 09:58:00.600105
557,attachment,Spree::Asset,250,557,2020-09-07 10:00:06.420126
559,video,Spree::Product,38,559,2020-09-07 10:00:22.747370
561,video,Spree::Product,496,561,2020-09-07 10:17:42.056115
563,video,Spree::Product,488,563,2020-09-07 12:18:26.115669
565,video,Spree::Product,489,565,2020-09-07 13:37:55.415123
567,video,Spree::Product,498,567,2020-09-07 13:39:16.338870
569,video,Spree::Product,510,569,2020-09-07 13:40:02.101517
571,video,Spree::Product,485,571,2020-09-07 13:41:04.905549
573,video,Spree::Product,545,573,2020-09-08 07:12:32.368351
577,video,Spree::Product,689,577,2020-09-08 07:14:35.399828
579,video,Spree::Product,211,579,2020-09-08 07:15:09.091291
582,video,Spree::Product,1564,582,2020-09-08 07:26:27.035823
584,video,Spree::Product,56,584,2020-09-08 09:41:22.395767
585,attachment,Spree::Asset,254,585,2020-09-08 09:42:44.957856
586,attachment,Spree::Asset,255,586,2020-09-08 09:44:15.876200
588,video,Spree::Product,984,588,2020-09-08 09:44:30.587328
590,video,Spree::Product,1212,590,2020-09-08 09:46:06.705166
591,attachment,Spree::Asset,256,591,2020-09-08 09:46:28.323135
594,video,Spree::Product,1183,594,2020-09-08 09:55:59.095474
